word,rank,count,grade_hint,academic,pos,notes
heard,325,,4,0,v,tier2_fry_filtered+fry_rank_325+grade4_week3_item5
order,326,,4,0,n,tier2_fry_filtered+fry_rank_326+grade4_week3_item6
become,330,,4,0,v,tier2_fry_filtered+fry_rank_330+grade4_week3_item10
across,333,,4,0,prep,tier2_fry_filtered+fry_rank_333+grade4_week4_item3
during,335,,4,0,prep,tier2_fry_filtered+fry_rank_335+grade4_week4_item5
happened,344,,4,0,v,tier2_fry_filtered+fry_rank_344+grade4_week5_item4
remember,347,,4,0,v,tier2_fry_filtered+fry_rank_347+grade4_week5_item7
early,348,,4,0,adv,tier2_fry_filtered+fry_rank_348+grade4_week5_item8
covered,355,,4,0,v,tier2_fry_filtered+fry_rank_355+grade4_week6_item5
several,357,,4,0,adj,tier2_fry_filtered+fry_rank_357+grade4_week6_item7
toward,360,,4,0,prep,tier2_fry_filtered+fry_rank_360+grade4_week6_item10
vowel,365,,4,1,n,tier2_fry_filtered+fry_rank_365+grade4_week7_item5
against,368,,4,0,prep,tier2_fry_filtered+fry_rank_368+grade4_week7_item8
pattern,369,,4,0,n,tier2_fry_filtered+fry_rank_369+grade4_week7_item18
slowly,373,,4,0,adv,tier2_fry_filtered+fry_rank_373+grade4_week8_item3
figure,394,,4,0,n,tier2_fry_filtered+fry_rank_394+grade4_week9_item15
certain,395,,4,0,adj,tier2_fry_filtered+fry_rank_395+grade4_week1_item12
field,396,,4,0,n,tier2_fry_filtered+fry_rank_396+grade4_week10_item6
half,404,,4,0,n,tier2_fry_filtered+fry_rank_404+grade4_week11_item4
finally,409,,4,0,adv,tier2_fry_filtered+fry_rank_409+grade4_week11_item9
became,415,,4,0,v,tier2_fry_filtered+fry_rank_415+grade4_week12_item5
shown,416,,4,0,v,tier2_fry_filtered+fry_rank_416+grade4_week12_item6
contain,427,,4,0,v,tier2_fry_filtered+fry_rank_427+grade4_week13_item7
course,428,,4,0,n,tier2_fry_filtered+fry_rank_428+grade4_week13_item8
surface,429,,4,0,n,tier2_fry_filtered+fry_rank_429+grade4_week13_item9
produce,430,,4,0,v,tier2_fry_filtered+fry_rank_430+grade4_week13_item10
building,431,,4,0,v,tier2_fry_filtered+fry_rank_431+grade4_week14_item1
scientist,438,,4,1,n,tier2_fry_filtered+fry_rank_438+grade4_week14_item8
inside,439,,4,0,prep,tier2_fry_filtered+fry_rank_439+grade4_week14_item9
island,444,,4,0,n,tier2_fry_filtered+fry_rank_444+grade4_week15_item4
machine,447,,4,0,n,tier2_fry_filtered+fry_rank_447+grade4_week15_item7
system,452,,4,0,n,tier2_fry_filtered+fry_rank_452+grade4_week16_item2
brought,459,,4,0,n,tier2_fry_filtered+fry_rank_459+grade4_week16_item9
understand,460,,4,0,n,tier2_fry_filtered+fry_rank_460+grade4_week16_item10
explain,464,,4,0,v,tier2_fry_filtered+fry_rank_464+grade4_week17_item4
language,467,,4,1,n,tier2_fry_filtered+fry_rank_467+grade4_week17_item7
equation,473,,4,1,n,tier2_fry_filtered+fry_rank_473+grade4_week18_item3
filled,476,,4,0,v,tier2_fry_filtered+fry_rank_476+grade4_week18_item6
special,494,,4,0,adj,tier2_fry_filtered+fry_rank_494+grade4_week20_item4
heavy,495,,4,0,n,tier2_fry_filtered+fry_rank_495+grade4_week20_item5
include,499,,4,0,v,tier2_fry_filtered+fry_rank_499+grade4_week20_item9
syllables,504,,4,1,n,tier2_fry_filtered+fry_rank_504+grade_estimated_from_fry_rank
perhaps,505,,4,0,adv,tier2_fry_filtered+fry_rank_505+grade4_week21_item5
farmers,512,,4,0,n,tier2_fry_filtered+fry_rank_512+grade_estimated_from_fry_rank
